date,ndvi
2020-06-01,0.08592756566418872
2020-06-02,0.3917296625104685
2020-06-03,0.527035646420267
2020-06-04,0.5015789574592429
2020-06-05,0.02836289345985891
2020-06-06,0.18938198555069105
2020-06-07,0.4032657430976736
2020-06-08,0.5667358215911288
2020-06-09,0.4661412132262219
2020-06-10,0.5408544248661453
2020-06-11,0.4911464219115977
2020-06-12,0.4510425501039799
2020-06-13,0.37209453998502373
2020-06-14,0.4777530184009078
2020-06-15,0.3682301224468045
2020-06-16,0.46231698115942793
2020-06-17,0.555465662121375
2020-06-18,0.47477019454309943
2020-06-19,0.5315183619230868
2020-06-20,0.5049119471331278
2020-06-21,0.5010412155950381
2020-06-22,0.5211127002026565
2020-06-23,0.46031905797377126
2020-06-24,0.33823518656231116
2020-06-25,0.4548021257939287
2020-06-26,0.49490300718990177
2020-06-27,0.4914609696617879
2020-06-28,0.5147551656684118
2020-06-29,0.505303789388834
2020-06-30,0.48160566489744344
2020-07-01,0.5276816144175024
2020-07-02,0.4666082690953472
2020-07-03,0.553712857933045
2020-07-04,0.47096997018482845
2020-07-05,0.5338827183886177
2020-07-06,0.5016238442260984
2020-07-07,0.5027592488209017
2020-07-08,0.519799086002754
2020-07-09,0.4704840170974008
2020-07-10,0.553044790039865
2020-07-11,0.46102636821358567
2020-07-12,0.5422577739743079
2020-07-13,0.48646923310867896
2020-07-14,0.51849789138007
2020-07-15,0.49386233072413127
2020-07-16,0.478848605822758
2020-07-17,0.5224030951299715
2020-07-18,0.4629671704905259
2020-07-19,0.5131591134225112
2020-07-20,0.43885948643171657
2020-07-21,0.31640936969242295
2020-07-22,0.500587818424927
2020-07-23,0.5005560504098949
2020-07-24,0.4807235853767209
2020-07-25,0.46890872549638063
2020-07-26,0.5533416178664332
2020-07-27,0.4383989718836766
2020-07-28,0.5422240200911214
2020-07-29,0.48511676142457283
2020-07-30,0.5177364424773537
2020-07-31,0.5069897693317524
2020-08-01,0.4845129396103825
2020-08-02,0.5239644122604538
2020-08-03,0.4635417571509027
2020-08-04,0.5440991640287923
2020-08-05,0.4677394144718201
2020-08-06,0.5238961923415616
2020-08-07,0.4908263413508517
2020-08-08,0.4956247224167054
2020-08-09,0.5091078002536138
2020-08-10,0.44544366944009733
2020-08-11,0.5176334743470088
2020-08-12,0.46257800853743725
2020-08-13,0.08552842469671655
2020-08-14,0.4493824302235885
2020-08-15,0.2117285030332143
2020-08-16,0.36829078187615083
2020-08-17,0.3981244729555458
2020-08-18,0.3862578061715734
2020-08-19,0.40074850336515216
2020-08-20,0.4217134417634769
2020-08-21,0.4802210953253463
2020-08-22,0.5256573342448507
2020-08-23,0.455325800923222
2020-08-24,0.4210022823649141
2020-08-25,0.4641797654676229
2020-08-26,0.4745475302953892
2020-08-27,0.5394178518055177
2020-08-28,0.4707791152708246
